rndrng_prvdr_type,count_top500
Internal Medicine,331
Family Practice,95
Podiatry,12
Physical Medicine and Rehabilitation,11
Emergency Medicine,9
Orthopedic Surgery,6
Neurology,4
Pulmonary Disease,4
Hospitalist,4
Endocrinology,4
Cardiology,3
Pain Management,3
Otolaryngology,3
Hematology-Oncology,2
Nephrology,2
Rheumatology,1
Dermatology,1
General Surgery,1
Chiropractic,1
Obstetrics & Gynecology,1
Sports Medicine,1
Infectious Disease,1
